name,gender,treatment,time
Rebeka Novak,f,Adrenaline,22
Chloe Castro,f,Adrenaline,20.1
Nanami Lopez,f,Adrenaline,21.2
Maria Durand,f,Adrenaline,20.1
Eva Durand,f,Adrenaline,19.2
Emily Fiala,f,Adrenaline,18.1
Aya Carrasco,f,Adrenaline,16.2
rosalie steiner,f,Energy Drink,22.7
Siobhan Kennedy,f,Energy Drink,19.3
Monserrat Carrasco,f,Energy Drink,15.2
Alejandra Durand,f,Energy Drink,22.6
Ciara Durand,f,Energy Drink,12.6
Antonia Durand,f,Energy Drink,10.3
Pia Summers,f,Energy Drink,17.7
Tjasa Gonzalez,f,Methamphetamine,24
Anna Bernard,f,Methamphetamine,13.5
Nanami McCarthy,f,Methamphetamine,14.4
Ellen Durand,f,Methamphetamine,10.2
Sophie Kennedy,f,Methamphetamine,15.1
Sophie Takahashi,f,Methamphetamine,23
Mayu Carrasco,f,Methamphetamine,14.3
Ian McCarthy,m,Adrenaline,25.8
Gal Hajek,m,Adrenaline,16.8
Javier Durand,m,Adrenaline,24.2
Cristian Rodriguez,m,Adrenaline,20
Gabriel Bernard,m,Adrenaline,12.2
Francisco Carrasco,m,Adrenaline,18.4
Ryan Durand,m,Adrenaline,21.6
Kyle McCarthy,m,Energy Drink,21.3
Takumi Durand,m,Energy Drink,6.6
Shin Rodriguez,m,Energy Drink,10.4
Benjamin Durand,m,Energy Drink,7.9
Bastian Gonzalez,m,Energy Drink,18.1
Naoki Carrasco,m,Energy Drink,5.7
Alexander Durand,m,Energy Drink,12.1
Conor Bernard,m,Methamphetamine,25
Kaito Durand,m,Methamphetamine,21.6
Felipe Gonzalez,m,Methamphetamine,16
Luis Durand,m,Methamphetamine,15.7
Evan Lopez,m,Methamphetamine,20
Dan Durand,m,Methamphetamine,6.3
Lucas Durand,m,Methamphetamine,11.1
